ORDER	ARTIST	ALBUM	TRACK
31347	Buddy Holly	20th Century Masters - The Millennium Collection- The Best Of Buddy Holly	04 - Everyday.flac
31347	Buddy Holly	20th Century Masters - The Millennium Collection- The Best Of Buddy Holly	05 - Not Fade Away.flac
31347	Buddy Holly	20th Century Masters - The Millennium Collection- The Best Of Buddy Holly	06 - Maybe Baby.flac
31347	Buddy Holly	20th Century Masters - The Millennium Collection- The Best Of Buddy Holly	07 - Oh Boy!.flac
31347	Buddy Holly	20th Century Masters - The Millennium Collection- The Best Of Buddy Holly	08 - It's So Easy.flac
31347	Buddy Holly	20th Century Masters - The Millennium Collection- The Best Of Buddy Holly	09 - Rave On.flac
31347	Buddy Holly	20th Century Masters - The Millennium Collection- The Best Of Buddy Holly	10 - True Love Ways.flac
31347	Buddy Holly	20th Century Masters - The Millennium Collection- The Best Of Buddy Holly	11 - Think It Over.flac
31347	Buddy Holly	20th Century Masters - The Millennium Collection- The Best Of Buddy Holly	12 - It Doesn't Matter Any More.flac
31347	Béla Fleck & The Flecktones	Left Of Cool	01 - Throwdown At The Hoedown.flac
31347	Béla Fleck & The Flecktones	Left Of Cool	02 - Communication.flac
31347	Béla Fleck & The Flecktones	Left Of Cool	03 - Big Country.flac
31347	Béla Fleck & The Flecktones	Left Of Cool	04 - Sojourn Of Arjuna.flac
31347	Béla Fleck & The Flecktones	Left Of Cool	05 - Let Me Be The One.flac
31347	Béla Fleck & The Flecktones	Left Of Cool	06 - Trane To Conamarra.flac
31347	Béla Fleck & The Flecktones	Left Of Cool	07 - Almost 12.flac
31347	Béla Fleck & The Flecktones	Left Of Cool	08 - Step Quiet.flac
31347	Béla Fleck & The Flecktones	Left Of Cool	09 - Oddity.flac
31347	Béla Fleck & The Flecktones	Left Of Cool	10 - Sleeping Dogs Lie.flac
31347	Béla Fleck & The Flecktones	Left Of Cool	11 - Trouble And Strife.flac
31347	Béla Fleck & The Flecktones	Left Of Cool	12 - Slow Walker.flac
31347	Béla Fleck & The Flecktones	Left Of Cool	13 - Shanti.flac
31347	Béla Fleck & The Flecktones	Left Of Cool	14 - The Big Blink.flac
31347	Béla Fleck & The Flecktones	Left Of Cool	15 - Prelude To Silence.flac
31347	C.W. McCall	Greatest Hits, C.W. McCall	01 - Convoy.flac
31347	C.W. McCall	Greatest Hits, C.W. McCall	02 - The Silverton.flac
31347	C.W. McCall	Greatest Hits, C.W. McCall	03 - Four Wheel Drive.flac
31347	C.W. McCall	Greatest Hits, C.W. McCall	04 - Wolf Creek Pass.flac
31347	C.W. McCall	Greatest Hits, C.W. McCall	05 - Classified.flac
31347	C.W. McCall	Greatest Hits, C.W. McCall	06 - There Won't Be No Country Music (There Won't Be No Rock 'N' Roll).flac
31347	C.W. McCall	Greatest Hits, C.W. McCall	07 - Old Home Filler-Up An' Keep On A-Truckin' Cafe.flac
31347	C.W. McCall	Greatest Hits, C.W. McCall	08 - Crispy Critters.flac
31347	C.W. McCall	Greatest Hits, C.W. McCall	09 - Round The World With The Rubber Duck.flac
31347	C.W. McCall	Greatest Hits, C.W. McCall	10 - Black Bear Road.flac
31347	C.W. McCall	Greatest Hits, C.W. McCall	11 - Roses For Mama.flac
31347	C.W. McCall	Greatest Hits, C.W. McCall	12 - Aurora Borealis.flac
31347	Capitol Steps	76 Bad Loans	01 - Fun, Fun, Fun 'Til Teddy Puts His T-Shirt Away.flac
31347	Capitol Steps	76 Bad Loans	02 - 'Atsa Lawyer.flac
31347	Capitol Steps	76 Bad Loans	03 - Slipped Disco (Keep Him Alive).flac
31347	Capitol Steps	76 Bad Loans	04 - Sixteen Games.flac
31347	Capitol Steps	76 Bad Loans	05 - Wolf Blitzer, Scud Stud.flac
31347	Capitol Steps	76 Bad Loans	06 - Millie The Poocher.flac
31347	Capitol Steps	76 Bad Loans	07 - Resumé Mucho.flac
31347	Capitol Steps	76 Bad Loans	08 - I Feel Petty.flac
31347	Capitol Steps	76 Bad Loans	09 - Won't You Stay Home, Israelis.flac
31347	Capitol Steps	76 Bad Loans	10 - Roll Out The Daryl.flac
31347	Capitol Steps	76 Bad Loans	11 - You Don't Bring Me Floriculturally Diverse Polyfragrant.flac
31347	Capitol Steps	76 Bad Loans	12 - Jeremullah Was A Bullfrog (Oil On The World).flac
31347	Capitol Steps	76 Bad Loans	13 - 76 Bad Loans.flac
31347	Capitol Steps	76 Bad Loans	14 - Lookin' For Scuds In All The Wrong Places.flac
